,created_by,name,description,directions,glass,image_url
166,,Brandon and Will's Coke Float,Brandon and Will's Coke Float,Combine ingredients,Beer Mug,http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg
167,,Brandy Alexander,Brandy Alexander,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg
168,,Brandy Cobbler,Brandy Cobbler,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg
169,,Brandy Flip,Brandy Flip,Combine ingredients,Whiskey Sour Glass,http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg
170,,Brandy Sour,Brandy Sour,Combine ingredients,Whiskey Sour Glass,http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg
171,,Brave Bull Shooter,Brave Bull Shooter,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg
172,,Bruce's Puce,Bruce's Puce,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg
173,,Bruised Heart,Bruised Heart,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg
174,,Bubble Gum,Bubble Gum,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg
175,,Buccaneer,Buccaneer,Combine ingredients,Beer Pilsner,http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg
176,,Bumble Bee #1,Bumble Bee #1,Combine ingredients,Shot Glass,http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg
177,,Butter Baby,Butter Baby,Combine ingredients,Beer Mug,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg
178,,Cafe Savoy,Cafe Savoy,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg
179,,Caipirinha,Caipirinha,Combine ingredients,Old-fashioned Glass,http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg
180,,Caipirissima,Caipirissima,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg
181,,California Lemonade,California Lemonade,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg
182,,California Root Beer,California Root Beer,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg
183,,Campari Beer,Campari Beer,Combine ingredients,Beer Mug,http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg
184,,Caribbean Boilermaker,Caribbean Boilermaker,Combine ingredients,Beer Pilsner,http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg
185,,Caribbean Orange Liqueur,Caribbean Orange Liqueur,Combine ingredients,Collins Glass,http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg
186,,Casino,Casino,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg
187,,Casino Royale,Casino Royale,Combine ingredients,Whiskey Sour Glass,http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg
188,,Castillian Hot Chocolate,Castillian Hot Chocolate,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg
189,,Champagne Cocktail,Champagne Cocktail,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg
190,,Cherry Electric Lemonade,Cherry Electric Lemonade,Combine ingredients,Pint Glass,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg
191,,Cherry Rum,Cherry Rum,Combine ingredients,Cocktail Glass,http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg
192,,Chicago Fizz,Chicago Fizz,Combine ingredients,Highball Glass,http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg
193,,Chocolate Beverage,Chocolate Beverage,Combine ingredients,Coffee Mug,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg
194,,Chocolate Black Russian,Chocolate Black Russian,Combine ingredients,Champagne Flute,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg
